origin_city,origin_iata,destination_city,destination_iata,flight_duration_hr,airline,stops,class,estimated_price_usd,estimated_price_eur
Tokyo,HND,Accra,ACC,3.8,Singapore Airlines,1 escala,Primera Clase,1358.8,1250.1
Tokyo,HND,Accra,ACC,8.7,Lufthansa,1 escala,Económica,579.8,533.42
Tokyo,HND,Accra,ACC,11.2,Aeroméxico,Directo,Económica,640.85,589.58
Tokyo,HND,Accra,ACC,13.3,Emirates,Directo,Primera Clase,3234.85,2976.06
Tokyo,HND,Accra,ACC,5.7,Singapore Airlines,2 escalas,Primera Clase,4156.11,3823.62
Tokyo,HND,Accra,ACC,9.1,American Airlines,Directo,Económica,1021.37,939.66
Tokyo,HND,Accra,ACC,2.2,Lufthansa,Directo,Primera Clase,576.37,530.26
Tokyo,HND,Adís Abeba,ADD,13.8,Singapore Airlines,1 escala,Business,1265.57,1164.32
Tokyo,HND,Adís Abeba,ADD,6.5,Singapore Airlines,1 escala,Business,280.85,258.38
Tokyo,HND,Amman,AMM,14.8,Lufthansa,Directo,Económica,1060.07,975.26
Tokyo,HND,Amsterdam,AMS,7.0,Qatar Airways,2 escalas,Business,858.2,789.54
Tokyo,HND,Anchorage,ANC,14.8,Delta,2 escalas,Económica Premium,1748.02,1608.18
Tokyo,HND,Anchorage,ANC,11.5,Emirates,1 escala,Económica Premium,1244.37,1144.82
Tokyo,HND,Andorra la Vella,LEU,4.2,Singapore Airlines,2 escalas,Económica,802.04,737.88
Tokyo,HND,Argel,ALG,8.3,Singapore Airlines,2 escalas,Económica,710.74,653.88
Tokyo,HND,Argel,ALG,5.1,Singapore Airlines,2 escalas,Primera Clase,929.81,855.43
Tokyo,HND,Auckland,AKL,12.8,Emirates,Directo,Primera Clase,1407.36,1294.77
Tokyo,HND,Auckland,AKL,11.1,Lufthansa,1 escala,Económica,219.23,201.69
Tokyo,HND,Bagdad,BGW,12.8,Aeroméxico,1 escala,Business,344.04,316.52
Tokyo,HND,Bagdad,BGW,5.1,Air France,1 escala,Económica Premium,825.35,759.32
Tokyo,HND,Bagdad,BGW,9.8,Lufthansa,1 escala,Primera Clase,3350.05,3082.05
Tokyo,HND,Bagdad,BGW,4.6,LATAM,2 escalas,Económica,791.05,727.77
Tokyo,HND,Bagdad,BGW,12.4,United,1 escala,Business,2227.0,2048.84
Tokyo,HND,Bali,DPS,17.5,LATAM,1 escala,Económica,1737.37,1598.38
Tokyo,HND,Bali,DPS,2.8,Singapore Airlines,2 escalas,Primera Clase,852.3,784.12
Tokyo,HND,Bali,DPS,6.1,Aeroméxico,2 escalas,Primera Clase,536.29,493.39
Tokyo,HND,Bangalore,BLR,17.3,American Airlines,2 escalas,Business,1956.21,1799.71
Tokyo,HND,Bangalore,BLR,14.5,Lufthansa,1 escala,Económica Premium,804.75,740.37
Tokyo,HND,Bangkok,BKK,15.1,Emirates,Directo,Business,400.75,368.69
Tokyo,HND,Barcelona,BCN,2.8,Lufthansa,2 escalas,Económica Premium,1868.03,1718.59
Tokyo,HND,Beijing,PEK,13.0,Emirates,2 escalas,Primera Clase,1396.46,1284.74
Tokyo,HND,Beijing,PEK,6.7,Aeroméxico,2 escalas,Primera Clase,1550.23,1426.21
Tokyo,HND,Beirut,BEY,7.2,Delta,1 escala,Económica Premium,261.7,240.76
Tokyo,HND,Beirut,BEY,16.9,Aeroméxico,Directo,Económica,385.72,354.86
Tokyo,HND,Beirut,BEY,14.6,Delta,1 escala,Económica Premium,1022.25,940.47
Tokyo,HND,Beirut,BEY,3.1,Qatar Airways,1 escala,Económica Premium,552.21,508.03
Tokyo,HND,Berlín,BER,14.3,British Airways,Directo,Primera Clase,1431.04,1316.56
Tokyo,HND,Berlín,BER,10.7,Emirates,1 escala,Económica,121.63,111.9
Tokyo,HND,Bogotá,BOG,3.0,Singapore Airlines,2 escalas,Económica Premium,713.25,656.19
Tokyo,HND,Bogotá,BOG,4.4,Air France,1 escala,Económica Premium,647.4,595.61
Tokyo,HND,Bogotá,BOG,8.4,Lufthansa,Directo,Económica,1025.24,943.22
Tokyo,HND,Brisbane,BNE,12.7,Singapore Airlines,Directo,Primera Clase,1588.27,1461.21
Tokyo,HND,Brisbane,BNE,14.8,Lufthansa,Directo,Económica,135.9,125.03
Tokyo,HND,Brisbane,BNE,10.4,LATAM,2 escalas,Business,954.04,877.72
Tokyo,HND,Brussels,BRU,12.1,British Airways,Directo,Económica,599.96,551.96
Tokyo,HND,Budapest,BUD,1.9,Aeroméxico,Directo,Primera Clase,1437.22,1322.24
Tokyo,HND,Buenos Aires,EZE,3.7,Aeroméxico,Directo,Económica Premium,1383.55,1272.87
